Gene Name,Solyc ID,Solyc_clean,Function/Family,Description,Notes,Original_Solyc_ID,Signature_Class,Confidence,Source_Table,Marker_Aliases,Marker_Category,Priority,Evidence_for_marker_use,Reference_source,ID_Status,Merge_Status,Additional_Notes,Original_Gene_Symbol,Ambiguity_Group,Ambiguity_Version,Panel_Tags
SlASAT2,Solyc04g012020,Solyc04g012020,acylsugar_biosynthesis,Type I/IV_acylsugar_support,Acylsugar-pathway support marker; less clean as type identity marker than ASAT3/ASAT4,Solyc04g012020,Type_IV_like_metabolic,medium,updated_all_marker_table,,metabolic_output_panel; lfs_specialized_metabolism_panel,Medium,Acylsugar-pathway support marker; less clean as type identity marker than ASAT3/ASAT4 || Acylsugar/specialized-metabolism readout; several acylsugar genes are downregulated after LFS perturbation and/or co-expressed with LFS.,Previous literature table; ASAT family annotation || Mandal 2025 New Phytologist; prior acylsugar literature,confirmed_from_previous_table,new_updated_all_table,"Acylsugar-pathway support marker; less clean as type identity marker than ASAT3/ASAT4 || Shared Solyc ID with other table rows: ASAT2, SlASAT2. Treat aliases/conflicts cautiously. || Interpret as downstream metabolic output rather than primary cell-fate marker.",SlASAT2,,,
SlASAT3,Solyc11g067270,Solyc11g067270,acylsugar_biosynthesis,Type I/IV,Acylsucrose acyltransferase; reporter/promoter expression in type I and IV glandular trichomes; strong capitate acylsugar marker,Solyc11g067270,Type_IV_like_metabolic,high,updated_all_marker_table,,metabolic_output_panel; lfs_specialized_metabolism_panel,High,Acylsucrose acyltransferase; reporter/promoter expression in type I and IV glandular trichomes; strong capitate acylsugar marker || Acylsugar/specialized-metabolism readout; several acylsugar genes are downregulated after LFS perturbation and/or co-expressed with LFS.,Kortbeek et al. 2016; Schilmiller et al. 2015 || Mandal 2025 New Phytologist; prior acylsugar literature,confirmed_from_previous_table,new_updated_all_table,"Acylsucrose acyltransferase; reporter/promoter expression in type I and IV glandular trichomes; strong capitate acylsugar marker || Shared Solyc ID with other table rows: ASAT3, SlASAT3. Treat aliases/conflicts cautiously. || Interpret as downstream metabolic output rather than primary cell-fate marker.",SlASAT3,,,
SlASAT4/SlAT2,Solyc01g105580,Solyc01g105580,acylsugar_biosynthesis,Type I/IV,Acylsucrose acyltransferase; reporter/promoter expression in type I and IV glandular trichomes; strong capitate acylsugar marker,Solyc01g105580,Type_IV_like_metabolic,high,updated_all_marker_table,,acylsugar_biosynthesis,High,Acylsucrose acyltransferase; reporter/promoter expression in type I and IV glandular trichomes; strong capitate acylsugar marker,Kortbeek et al. 2016; Schilmiller et al. 2012,confirmed_from_previous_table,new_updated_all_table,"Acylsucrose acyltransferase; reporter/promoter expression in type I and IV glandular trichomes; strong capitate acylsugar marker || Shared Solyc ID with other table rows: ASAT4, SlASAT4/SlAT2. Treat aliases/conflicts cautiously.",SlASAT4/SlAT2,,,
SlASH1,Solyc05g030120,Solyc05g030120,AcylSugar acylHydrolase 1,Found on Chromosome 5; removes specific acyl chains from the sugar core.,,,,,curated_base,,,,,,,base_row,,,,,
SlASH2,Solyc05g030130,Solyc05g030130,AcylSugar acylHydrolase 2,Sits right next to ASH1; works as a carboxylesterase to hydrolyze acylsugars.,,,,,curated_base,,,,,,,base_row,,,,,
SlASH3,Solyc09g075710,Solyc09g075710,AcylSugar acylHydrolase 3,Located on Chromosome 9; expressed specifically in trichomes to modify defense compounds.,,,,,curated_base,,,,,,,base_row,,,,,
SlASR3,Solyc02g069390,Solyc02g069390,Trihelix/MYB-like_TF,Type_II_and_VI_negative_regulator,Expressed in type II and VI trichomes; knockdown/knockout increases type II and VI trichome densities; overexpression reduces them; mediates auxin-JA crosstalk.,Solyc02g069390,Candidate_marker_uncategorized,high,updated_all_marker_table,,Trihelix/MYB-like_TF,High,Expressed in type II and VI trichomes; knockdown/knockout increases type II and VI trichome densities; overexpression reduces them; mediates auxin-JA crosstalk.,Zheng et al. 2025; Zhao et al. 2025 review,confirmed,new_updated_all_table,Expressed in type II and VI trichomes; knockdown/knockout increases type II and VI trichome densities; overexpression reduces them; mediates auxin-JA crosstalk.,SlASR3,,,
SlBRC2a,Solyc04g006980,Solyc04g006980,Trichome morphogenesis / Wo-BRC2a module,TCP transcription factor linked to basal cell expansion/endoreduplication,Downstream target of Wo; expressed mainly in basal trichome cells; knockout increases trichome cell division and branching; promotes transition from division to endoreduplication/expansion. || SlBRC2a antagonizes Wo-associated division program and promotes basal expansion/endoreduplication-like context.,Solyc04g006980,Wo_BRC2a_morphogenesis_panel,high,literature_expansion,SlBRC2a,wo_brc2a_morphogenesis_panel,High,Downstream target of Wo; expressed mainly in basal trichome cells; knockout increases trichome cell division and branching; promotes transition from division to endoreduplication/expansion. || SlBRC2a antagonizes Wo-associated division program and promotes basal expansion/endoreduplication-like context.,Wu et al. 2024 || Wu 2024 Developmental Cell; Tian 2020 atlas context,confirmed_from_literature,literature_expanded,Downstream target of Wo; expressed mainly in basal trichome cells; knockout increases trichome cell division and branching; promotes transition from division to endoreduplication/expansion.,,,,wo_brc2a_morphogenesis_panel
SlCycB2,Solyc10g083420,Solyc10g083420,B-type Cyclin,Controls cell division in multicellular trichomes,,,,,curated_base,,,,,,,base_row,,,,,
SlEOT1,Solyc02g062400,Solyc02g062400,terpene_regulatory_TF/promoter_marker,Type VI,Type VI glandular trichome reporter/promoter marker; strongly reduced in glandless isolated stem trichomes; regulator of terpene biosynthesis,Solyc02g062400,Type_VI_like_regulatory,high,updated_all_marker_table,,terpene_regulatory_TF/promoter_marker,High,Type VI glandular trichome reporter/promoter marker; strongly reduced in glandless isolated stem trichomes; regulator of terpene biosynthesis,Kortbeek et al. 2016; Zocca et al. 2025,confirmed,new_updated_all_table,Type VI glandular trichome reporter/promoter marker; strongly reduced in glandless isolated stem trichomes; regulator of terpene biosynthesis,SlEOT1,,,
SlEOT2,Solyc03g033680,Solyc03g033680,terpene_regulatory_TF,Type VI,Reduced in glandless isolated stem trichomes; reported as trichome-enriched regulator of terpene biosynthetic pathway genes,Solyc03g033680,Type_VI_like_regulatory,medium_high,updated_all_marker_table,,terpene_regulatory_TF,Medium_high,Reduced in glandless isolated stem trichomes; reported as trichome-enriched regulator of terpene biosynthetic pathway genes,Zocca et al. 2025,confirmed,new_updated_all_table,Reduced in glandless isolated stem trichomes; reported as trichome-enriched regulator of terpene biosynthetic pathway genes,SlEOT2,,,
SlGCR1,Solyc02g076670,Solyc02g076670,MYB-like transcription factor,Gland cell repressor / gland fate switch component,Gland-cell repressor; gcr1/gcr2 double mutants strongly promote gland formation and supernumerary glands; expressed strongly in apical cells before gland transition. || GCR1/GCR2 repress gland formation; useful for gland-fate switch panel.,Solyc02g076670,GCR_TOE_LFS_gland_fate_switch,high,literature_expansion,SlGCR1,gland_fate_switch_panel,High,Gland-cell repressor; gcr1/gcr2 double mutants strongly promote gland formation and supernumerary glands; expressed strongly in apical cells before gland transition. || GCR1/GCR2 repress gland formation; useful for gland-fate switch panel.,Chang et al. 2024; Zocca et al. 2025 || Chang 2024 Nature; Mandal 2025 New Phytologist,confirmed_from_literature,literature_expanded,Gland-cell repressor; gcr1/gcr2 double mutants strongly promote gland formation and supernumerary glands; expressed strongly in apical cells before gland transition.,,,,gland_fate_switch_panel
SlH3,Solyc11g018660,Solyc11g018660,C2H2 Zinc Finger Protein,Works with Woolly for gland density,,,,,curated_base,,,,,,,base_row,,,,,
SlH4,Solyc11g018662,Solyc11g018662,C2H2 Zinc Finger Protein,Works with Woolly for gland density,,,,,curated_base,,,,,,,base_row,,,,,
SlHD8,Solyc03g098200,Solyc03g098200,HD-ZIP_IV_TF,Type VI/broad_trichome_development,Regulates trichome initiation/morphogenesis and MeJA-induced elongation; included in glandular-cell transcriptome candidate lists; useful broad developmental context marker.,Solyc03g098200,Type_VI_like_regulatory,medium,updated_all_marker_table,,HD-ZIP_IV_TF,Medium,Regulates trichome initiation/morphogenesis and MeJA-induced elongation; included in glandular-cell transcriptome candidate lists; useful broad developmental context marker.,Chang et al. 2024; Zocca et al. 2025,confirmed,new_updated_all_table,Regulates trichome initiation/morphogenesis and MeJA-induced elongation; included in glandular-cell transcriptome candidate lists; useful broad developmental context marker.,SlHD8,,,
SlHD8,Solyc08g006850,Solyc08g006850,HD-Zip IV Transcription Factor,Promotes trichome elongation and expansion,,,,,curated_base,,,,,,,base_row,,,,,
SlHDZ38,Solyc03g116080,Solyc03g116080,HD-Zip I Transcription Factor,Glandular head development (Type VI),,,,,curated_base,,,,,,,base_row,,,,,
SlHDZ38/Glandless,Solyc09g008810,Solyc09g008810,development_TF,Type VI,Glandless mutation and VIGS cause aberrant type VI trichomes lacking normal gland cells; volatile terpenes reduced; strong new type VI gland-formation marker,Solyc09g008810,Type_VI_like_regulatory,high,updated_all_marker_table,,development_TF,High,Glandless mutation and VIGS cause aberrant type VI trichomes lacking normal gland cells; volatile terpenes reduced; strong new type VI gland-formation marker,Zocca et al. 2025,confirmed,new_updated_all_table,Glandless mutation and VIGS cause aberrant type VI trichomes lacking normal gland cells; volatile terpenes reduced; strong new type VI gland-formation marker,SlHDZ38/Glandless,,,
HDZIV3/HD3,Solyc03g026070,Solyc03g026070,HD-Zip_IV_TF,Long_trichome_and_GT_development,Predominantly expressed in leaf and fruit trichomes; CRISPR mutants reduce long trichomes and glandular trichomes on leaves; required for MeJA-induced long-trichome formation.,Solyc03g026070,General_trichome_development,high,updated_all_marker_table,,HD-Zip_IV_TF,High,Predominantly expressed in leaf and fruit trichomes; CRISPR mutants reduce long trichomes and glandular trichomes on leaves; required for MeJA-induced long-trichome formation.,Li et al. 2025; Zhao et al. 2025 review,confirmed,new_updated_all_table,Predominantly expressed in leaf and fruit trichomes; CRISPR mutants reduce long trichomes and glandular trichomes on leaves; required for MeJA-induced long-trichome formation.,SlHDZIV3/SlHD3,,,
SlHsp70,Solyc11g020040,Solyc11g020040,Heat Shock Protein,Chaperone, heat stress protection,,,,curated_base,,,,,,,base_row,,,,,
SlHsp90,Solyc06g036290,Solyc06g036290,Heat Shock Protein,Chaperone, protein stability during heat stress,,,,curated_base,,,,,,,base_row,,,,,
SlIAA15,Solyc03g120390,Solyc03g120390,auxin_signaling,Broad_trichome_development,Listed as characterized trichome development gene; useful auxin/developmental control marker,Solyc03g120390,General_trichome_development,low,updated_all_marker_table,,auxin_signaling,Low,Listed as characterized trichome development gene; useful auxin/developmental control marker,Galdon-Armero 2018,confirmed,new_updated_all_table,Listed as characterized trichome development gene; useful auxin/developmental control marker,SlIAA15,,,
SlIPMS3,Solyc08g014230,Solyc08g014230,branched_chain_acyl_precursor_metabolism,Type I/IV,Isopropylmalate synthase; GFP/GUS expression in type I and IV glandular trichomes; links to branched acyl-chain composition of acylsugars,Solyc08g014230,Type_IV_like_metabolic,high,updated_all_marker_table,,branched_chain_acyl_precursor_metabolism,High,Isopropylmalate synthase; GFP/GUS expression in type I and IV glandular trichomes; links to branched acyl-chain composition of acylsugars,Kortbeek et al. 2016; Ning et al. 2015,confirmed_from_previous_table,new_updated_all_table,Isopropylmalate synthase; GFP/GUS expression in type I and IV glandular trichomes; links to branched acyl-chain composition of acylsugars,SlIPMS3,,,
SlJAZ1,Solyc07g042170,Solyc07g042170,JAZ protein,Repressor of Jasmonate signaling,,,,,curated_base,,,,,,,base_row,,,,,
SlJAZ2,Solyc12g009220,Solyc12g009220,JA_signaling_regulator,Type VI,JA signaling inhibitor controlling SlMYC1/SlWO module; lower in glandless leaves; regulatory-state marker rather than structural identity marker,Solyc12g009220,Type_VI_like_regulatory,medium,updated_all_marker_table,,JA_signaling_regulator,Medium,JA signaling inhibitor controlling SlMYC1/SlWO module; lower in glandless leaves; regulatory-state marker rather than structural identity marker,Zocca et al. 2025,confirmed,new_updated_all_table,JA signaling inhibitor controlling SlMYC1/SlWO module; lower in glandless leaves; regulatory-state marker rather than structural identity marker,SlJAZ2,,,
SlJAZ4,Solyc12g049400,Solyc12g049400,JA_signaling_regulator,Type VI,JA signaling inhibitor regulating SlMYC1 and SlHD8 activity; lower in glandless leaves; useful JA/type VI regulatory context marker,Solyc12g049400,Type_VI_like_regulatory,medium,updated_all_marker_table,,JA_signaling_regulator,Medium,JA signaling inhibitor regulating SlMYC1 and SlHD8 activity; lower in glandless leaves; useful JA/type VI regulatory context marker,Zocca et al. 2025,confirmed,new_updated_all_table,JA signaling inhibitor regulating SlMYC1 and SlHD8 activity; lower in glandless leaves; useful JA/type VI regulatory context marker,SlJAZ4,,,
SlJAZ5,Solyc03g118540,Solyc03g118540,JA_signaling_regulator,Type VI,"More expressed in glandless isolated stem trichomes; regulatory-state marker, not type-specific",Solyc03g118540,Type_VI_like_regulatory,low,updated_all_marker_table,,JA_signaling_regulator,Low,"More expressed in glandless isolated stem trichomes; regulatory-state marker, not type-specific",Zocca et al. 2025,confirmed,new_updated_all_table,"More expressed in glandless isolated stem trichomes; regulatory-state marker, not type-specific",SlJAZ5,,,
SlJAZ6,Solyc01g005440,Solyc01g005440,JA_signaling_regulator,Type VI,"More expressed in glandless isolated stem trichomes; regulatory-state marker, not type-specific",Solyc01g005440,Type_VI_like_regulatory,low,updated_all_marker_table,,JA_signaling_regulator,Low,"More expressed in glandless isolated stem trichomes; regulatory-state marker, not type-specific",Zocca et al. 2025,confirmed,new_updated_all_table,"More expressed in glandless isolated stem trichomes; regulatory-state marker, not type-specific",SlJAZ6,,,
SlJAZ7,Solyc11g011030,Solyc11g011030,JA_signaling_regulator,Type VI,"More expressed in glandless isolated stem trichomes; regulatory-state marker, not type-specific",Solyc11g011030,Type_VI_like_regulatory,low,updated_all_marker_table,,JA_signaling_regulator,Low,"More expressed in glandless isolated stem trichomes; regulatory-state marker, not type-specific",Zocca et al. 2025,confirmed,new_updated_all_table,"More expressed in glandless isolated stem trichomes; regulatory-state marker, not type-specific",SlJAZ7,,,
SlLFS/LEAFLESS ,Solyc05g013540,Solyc05g013540,AP2/ERF_TF,Type_I/IV_acylsugar_and_gland_fate,Ambiguous/multiple ID row split into version A; original ID field: Solyc05g013540; SpLFS=Sopen05g008450 || ID-source chunk: Solyc05g013540 || Positive regulator of gland formation and acylsugar/flavonoid biosynthesis; expressed in type I/IV trichome tip cells; silencing reduces acylsugars; GCR1/2 repress LFS.,Solyc05g013540; SpLFS=Sopen05g008450,Type_IV_like_metabolic,high,updated_all_marker_table,,LFS_specialized_metabolism_panel,High,Positive regulator of gland formation and acylsugar/flavonoid biosynthesis; expressed in type I/IV trichome tip cells; silencing reduces acylsugars; GCR1/2 repress LFS. || LFS links AP2/ERF developmental function with acylsugar/flavonoid specialized metabolism; interpret as developmental-metabolic bridge.,Chang et al. 2024; Mandal et al. 2025; Wu et al. 2023 || Mandal 2025 New Phytologist; Chang 2024; Tian 2020 atlas context,confirmed,new_updated_all_table,Ambiguous/multiple ID row split into version A; original ID field: Solyc05g013540; SpLFS=Sopen05g008450 || ID-source chunk: Solyc05g013540 || Keep separate from pure type marker interpretation; LFS can regulate acylsugar output independently from trichome density.,SlLFS/LEAFLESS,SlLFS/LEAFLESS,A,gland_fate_switch_panel
SlLN,Solyc03g031760,Solyc03g031760,HD-ZIP_IV_TF,Type VI/broad_trichome_development,HD-ZIP IV regulator; natural mutant has lower type VI/VII density; lower in glandless leaves,Solyc03g031760,Type_VI_like_regulatory,medium,updated_all_marker_table,,HD-ZIP_IV_TF,Medium,HD-ZIP IV regulator; natural mutant has lower type VI/VII density; lower in glandless leaves,Zocca et al. 2025,confirmed,new_updated_all_table,HD-ZIP IV regulator; natural mutant has lower type VI/VII density; lower in glandless leaves,SlLN,,,
SlMIXTA-like,Solyc02g088190,Solyc02g088190,MYB_TF,Broad_trichome_development,"Developmental/epidermal-patterning marker; altered in glandless isolated stem trichomes; useful context marker, not type-specific",Solyc02g088190,General_trichome_development,medium,updated_all_marker_table,,MYB_TF,Medium,"Developmental/epidermal-patterning marker; altered in glandless isolated stem trichomes; useful context marker, not type-specific",Zocca et al. 2025; Galdon-Armero 2018,confirmed,new_updated_all_table,"Developmental/epidermal-patterning marker; altered in glandless isolated stem trichomes; useful context marker, not type-specific",SlMIXTA-like,,,
SlMTR2/SlCycB3,Solyc06g073990,Solyc06g073990,MTR / EAR-RING-like multicellular trichome repressor,Multicellular trichome repressor 2; homologous to MTR1; previously associated with SlCycB3 nomenclature; Wo downstream/dosage control module,MTR2 is homologous to MTR1; interpret as Wo-dose/morphogenesis regulator rather than canonical cyclin marker.,,wo_morphogenesis_context,high,marker_signature_table,MTR2; SlCycB3; SlMTR2,wo_brc2a_morphogenesis_panel,High,MTR family regulator of Wo-dependent multicellular trichome development.,Wu et al. Developmental Cell Wo/MTR literature,confirmed_from_literature,new_from_marker_table,"reference: Zocca et al. 2025 || id_status: confirmed || Shared Solyc ID with other table rows: MTR2/SlCycB3, SlMTR2/SlCycB3. Treat aliases/conflicts cautiously.",SlMTR2/SlCycB3,,,wo_brc2a_morphogenesis_panel; atlas_epidermis_context_panel
SlMTR3,Solyc01g007870,Solyc01g007870,MTR / EAR-RING-like multicellular trichome repressor,Multicellular trichome repressor 3; homologous to MTR1; Wo downstream/dosage control module,MTR3 is homologous to MTR1; interpret as Wo-dose/morphogenesis regulator.,Solyc01g007870,wo_morphogenesis_context,high,updated_all_marker_table,MTR3; SlMTR3,wo_brc2a_morphogenesis_panel,High,MTR family regulator of Wo-dependent multicellular trichome development.,Wu et al. Developmental Cell Wo/MTR literature,confirmed_from_literature,new_updated_all_table,SlWO regulatory network member; more expressed in glandless isolated stem trichomes,SlMTR3,,,wo_brc2a_morphogenesis_panel; atlas_epidermis_context_panel
SlMX1,Solyc01g010910,Solyc01g010910,Trichome morphogenesis / Wo-BRC2a module,MYB/MIXTA-like Wo downstream trichome morphogenesis factor,Key downstream Wo-response gene; promotes digitate trichome differentiation and cell-division output; knockout reduces excessive cell division in cr-slbrc2a background. || Atlas authors and Wo-gradient paper support SlMX1 as trichome morphogenesis/glandular subcluster marker.,Solyc01g010910,Wo_BRC2a_morphogenesis_panel,high,literature_expansion,SlMX1,wo_brc2a_morphogenesis_panel,High,Key downstream Wo-response gene; promotes digitate trichome differentiation and cell-division output; knockout reduces excessive cell division in cr-slbrc2a background. || Atlas authors and Wo-gradient paper support SlMX1 as trichome morphogenesis/glandular subcluster marker.,Wu et al. 2023; Wu et al. 2024; Galdon-Armero 2018 || Wu 2024 Developmental Cell; Tian 2020 atlas context,confirmed_from_literature,literature_expanded,Key downstream Wo-response gene; promotes digitate trichome differentiation and cell-division output; knockout reduces excessive cell division in cr-slbrc2a background.,,,,wo_brc2a_morphogenesis_panel
SlMX2/SlMYB106,Solyc04g005600,Solyc04g005600,MYB_TF,Broad_trichome_development,Candidate/characterized trichome development gene from Galdon-Armero; useful developmental marker for trichome density/fate context,Solyc04g005600,General_trichome_development,medium,updated_all_marker_table,,MYB_TF,Medium,Candidate/characterized trichome development gene from Galdon-Armero; useful developmental marker for trichome density/fate context,Galdon-Armero 2018,confirmed,new_updated_all_table,Candidate/characterized trichome development gene from Galdon-Armero; useful developmental marker for trichome density/fate context,SlMX2/SlMYB106,,,
SlMYB52,Solyc03g093890,Solyc03g093890,R2R3-like_MYB,Auxin_MYB_trichome_density_module,Part of the SlARF4-related MYB module; review links it to trichome density regulation; in Zheng et al. it was not the main auxin-JA crosstalk candidate.,Solyc03g093890,Candidate_marker_uncategorized,medium,updated_all_marker_table,,R2R3-like_MYB,Medium,Part of the SlARF4-related MYB module; review links it to trichome density regulation; in Zheng et al. it was not the main auxin-JA crosstalk candidate.,Zheng et al. 2025; Zhao et al. 2025 review,confirmed,new_updated_all_table,Part of the SlARF4-related MYB module; review links it to trichome density regulation; in Zheng et al. it was not the main auxin-JA crosstalk candidate.,SlMYB52,,,
SlMYB75,Solyc10g086250,Solyc10g086250,R2R3-like_MYB,Auxin_MYB_trichome_density_module,Part of the SlARF4-related MYB module; review links it to negative regulation of type II/V/VI trichome density; not primary SlASR3 crosstalk candidate.,Solyc10g086250,Candidate_marker_uncategorized,medium,updated_all_marker_table,,R2R3-like_MYB,Medium,Part of the SlARF4-related MYB module; review links it to negative regulation of type II/V/VI trichome density; not primary SlASR3 crosstalk candidate.,Zheng et al. 2025; Zhao et al. 2025 review,confirmed,new_updated_all_table,Part of the SlARF4-related MYB module; review links it to negative regulation of type II/V/VI trichome density; not primary SlASR3 crosstalk candidate.,SlMYB75,,,
SlMYC1,Solyc08g005050,Solyc08g005050,development_TF_and_terpene_regulator,Type VI,Required for type VI trichome initiation/maturation and terpene biosynthesis; Wo/SlMYC1 module mediates JA signalling in glandular trichomes and improves pest resistance.,Solyc08g005050,Type_VI_like_regulatory,high,updated_all_marker_table,,development_TF_and_terpene_regulator,High,Required for type VI trichome initiation/maturation and terpene biosynthesis; Wo/SlMYC1 module mediates JA signalling in glandular trichomes and improves pest resistance.,Xu et al. 2018; Hua et al. 2020; Zocca et al. 2025,confirmed,new_updated_all_table,Required for type VI trichome initiation/maturation and terpene biosynthesis; Wo/SlMYC1 module mediates JA signalling in glandular trichomes and improves pest resistance.,SlMYC1,,,
SlPPO,Solyc08g074630,Solyc08g074630,Polyphenol Oxidase,Anti-nutritive defense against insects,,,,,curated_base,,,,,,,base_row,,,,,
SlRbcS-T,Solyc07g017950,Solyc07g017950,Rubisco_small_subunit,Type I/IV_capitate_GT/metabolic_support,"Expressed in glandular cells of type I and IV trichomes; useful capitate GT metabolism marker, not strict type IV-only",Solyc07g017950,Type_IV_like_metabolic,medium_high,updated_all_marker_table,,metabolic_output_panel; lfs_specialized_metabolism_panel,Medium_high,"Expressed in glandular cells of type I and IV trichomes; useful capitate GT metabolism marker, not strict type IV-only || Acylsugar/specialized-metabolism readout; several acylsugar genes are downregulated after LFS perturbation and/or co-expressed with LFS.",Brand-Duran 2024 || Mandal 2025 New Phytologist; prior acylsugar literature,confirmed,new_updated_all_table,"Expressed in glandular cells of type I and IV trichomes; useful capitate GT metabolism marker, not strict type IV-only || Interpret as downstream metabolic output rather than primary cell-fate marker.",SlRbcS-T,,,lfs_specialized_metabolism_panel
SlSCL3,Solyc12g099900,Solyc12g099900,development/metabolism_TF,Type VI,Highly trichome-expressed regulator of terpene biosynthetic genes; reduced in glandless isolated stem trichomes,Solyc12g099900,Type_VI_like_regulatory,high,updated_all_marker_table,,development/metabolism_TF,High,Highly trichome-expressed regulator of terpene biosynthetic genes; reduced in glandless isolated stem trichomes,Zocca et al. 2025; Brand-Duran 2024,confirmed,new_updated_all_table,Highly trichome-expressed regulator of terpene biosynthetic genes; reduced in glandless isolated stem trichomes,SlSCL3,,,
SlSH,Solyc10g078990,Solyc10g078990,C2H2_ZFP,Broad_trichome_development,Sparse Hair regulator; interacts in trichome regulatory network; upregulated in glandless isolated stem trichomes,Solyc10g078990,General_trichome_development,medium_low,updated_all_marker_table,,C2H2_ZFP,Medium_low,Sparse Hair regulator; interacts in trichome regulatory network; upregulated in glandless isolated stem trichomes,Zocca et al. 2025,confirmed,new_updated_all_table,Sparse Hair regulator; interacts in trichome regulatory network; upregulated in glandless isolated stem trichomes,SlSH,,,
SlTHM1,Solyc08g081500,Solyc08g081500,R2R3-like_MYB,Type_II/VI_negative_context_marker,Restricts type II and VI trichome development in the review; target/context gene in auxin-related MYB regulation; not primary SlASR3 crosstalk candidate.,Solyc08g081500,Candidate_marker_uncategorized,medium,updated_all_marker_table,,R2R3-like_MYB,Medium,Restricts type II and VI trichome development in the review; target/context gene in auxin-related MYB regulation; not primary SlASR3 crosstalk candidate.,Zheng et al. 2025; Zhao et al. 2025 review,confirmed,new_updated_all_table,Restricts type II and VI trichome development in the review; target/context gene in auxin-related MYB regulation; not primary SlASR3 crosstalk candidate.,SlTHM1,,,
SlTIP4,Solyc08g066840,Solyc08g066840,development_regulator,Broad_trichome_development,Listed as characterized/structural regulatory trichome development gene; useful auxiliary marker,Solyc08g066840,General_trichome_development,low,updated_all_marker_table,,development_regulator,Low,Listed as characterized/structural regulatory trichome development gene; useful auxiliary marker,Galdon-Armero 2018,confirmed,new_updated_all_table,Listed as characterized/structural regulatory trichome development gene; useful auxiliary marker,SlTIP4,,,
SlTOE1B,Solyc04g049800,Solyc04g049800,AP2/ERF transcription factor,TOE/AP2-like gland-fate regulator; antagonizes GCR repression,Promotes gland formation by interacting with GCR1/2 and enhancing repression of GCR expression; linked to juvenile gland formation and acylsugar increase. || Connects miR156/SPL-miR172/TOE phase module to gland formation; test in epidermis/trichome developmental contexts.,Solyc04g049800,GCR_TOE_LFS_gland_fate_switch,high,literature_expansion,SlTOE1B; TOE1B canonical; Solyc04g049800,gland_fate_switch_panel,High,Promotes gland formation by interacting with GCR1/2 and enhancing repression of GCR expression; linked to juvenile gland formation and acylsugar increase. || Connects miR156/SPL-miR172/TOE phase module to gland formation; test in epidermis/trichome developmental contexts.,Chang et al. 2024 || Chang 2024 Nature; Mandal 2025 New Phytologist,confirmed_from_literature,literature_expanded,Promotes gland formation by interacting with GCR1/2 and enhancing repression of GCR expression; linked to juvenile gland formation and acylsugar increase. || Canonical working SlTOE1B row for gland-fate/phase-change panels.,,SlTOE1B,B,gland_fate_switch_panel; phase_change_ap2_spl_panel
SlTPL2,Solyc08g076030,Solyc08g076030,TOPLESS co-repressor,Co-repressor partner in GCR/TOE gland-fate switch,Interacts with SlTOE1B and GCR1/2; GCR1/2-TPL2 represses LFS; tpl2 knockout promotes gland formation in some trichomes. || Use as mechanistic support marker for GCR-mediated repression; likely low/broad expression.,Solyc08g076030,GCR_TOE_LFS_gland_fate_switch,medium,literature_expansion,SlTPL2,gland_fate_switch_panel,Medium,Interacts with SlTOE1B and GCR1/2; GCR1/2-TPL2 represses LFS; tpl2 knockout promotes gland formation in some trichomes. || Use as mechanistic support marker for GCR-mediated repression; likely low/broad expression.,Chang et al. 2024 || Chang 2024 Nature; Mandal 2025 New Phytologist,confirmed_from_literature,literature_expanded,Interacts with SlTOE1B and GCR1/2; GCR1/2-TPL2 represses LFS; tpl2 knockout promotes gland formation in some trichomes.,,,,gland_fate_switch_panel
SlTPS1,Solyc01g105850,Solyc01g105850,monoterpene_synthase,Type VI,Camphene/tricyclene synthase; reduced in glandless leaves and isolated stem trichomes,Solyc01g105850,Type_VI_like_metabolic,medium,updated_all_marker_table,,monoterpene_synthase,Medium,Camphene/tricyclene synthase; reduced in glandless leaves and isolated stem trichomes,Zocca et al. 2025,confirmed,new_updated_all_table,Camphene/tricyclene synthase; reduced in glandless leaves and isolated stem trichomes,SlTPS1,,,
SlTPS10,Solyc08g005670,Solyc08g005670,monoterpene_synthase,Type VI,Phellandrene-associated TPS; reduced in glandless leaves and isolated stem trichomes,Solyc08g005670,Type_VI_like_metabolic,medium_high,updated_all_marker_table,,monoterpene_synthase,Medium_high,Phellandrene-associated TPS; reduced in glandless leaves and isolated stem trichomes,Zocca et al. 2025,confirmed,new_updated_all_table,Phellandrene-associated TPS; reduced in glandless leaves and isolated stem trichomes,SlTPS10,,,
